,date,open,high,low,close,volume,stock_name,%_change,change,year,quarter,month
1508,2024-08-06,49100,50300,48400,50100,688100,CMG,2.98,1450.0,2024,3,8
1509,2024-08-07,50600,51300,49500,51000,586200,CMG,1.8,900.0,2024,3,8
1510,2024-08-08,50900,51100,48550,48700,928300,CMG,-4.51,-2300.0,2024,3,8
1511,2024-08-09,49750,50900,49300,50800,1007800,CMG,4.31,2100.0,2024,3,8
1512,2024-08-12,50600,52300,50600,51800,858000,CMG,1.97,1000.0,2024,3,8
1513,2024-08-13,52100,52900,51000,51500,880800,CMG,-0.58,-300.0,2024,3,8
1514,2024-08-14,52200,52300,50000,50900,1050000,CMG,-1.17,-600.0,2024,3,8
1515,2024-08-15,50800,50800,49600,49750,490200,CMG,-2.26,-1150.0,2024,3,8
1516,2024-08-16,50200,52300,50200,52200,1346500,CMG,4.92,2450.0,2024,3,8
1517,2024-08-19,52300,53700,52300,53000,777500,CMG,1.53,800.0,2024,3,8
1518,2024-08-20,53300,54300,52900,53100,786800,CMG,0.19,100.0,2024,3,8
1519,2024-08-21,53600,53800,52500,52600,943400,CMG,-0.94,-500.0,2024,3,8
1520,2024-08-22,53300,55100,52900,54700,1602700,CMG,3.99,2100.0,2024,3,8
1521,2024-08-23,54600,54600,53500,53800,806700,CMG,-1.65,-900.0,2024,3,8
1522,2024-08-26,53900,54300,52500,52800,796100,CMG,-1.86,-1000.0,2024,3,8
1523,2024-08-27,52800,52800,52100,52500,623400,CMG,-0.57,-300.0,2024,3,8
1524,2024-08-28,52400,53100,52200,52300,463400,CMG,-0.38,-200.0,2024,3,8
1525,2024-08-29,52200,53800,52100,53500,1041300,CMG,2.29,1200.0,2024,3,8
1526,2024-08-30,53500,53600,52800,52800,349700,CMG,-1.31,-700.0,2024,3,8
1527,2024-09-04,51800,53000,51800,53000,635900,CMG,0.38,200.0,2024,3,9
1528,2024-09-05,53000,53000,52000,52100,592600,CMG,-1.7,-900.0,2024,3,9
1529,2024-09-06,52000,52400,51400,51800,455500,CMG,-0.58,-300.0,2024,3,9
1530,2024-09-09,51500,51700,50800,51000,519900,CMG,-1.54,-800.0,2024,3,9
1531,2024-09-10,50900,51300,49500,49500,587900,CMG,-2.94,-1500.0,2024,3,9
1532,2024-09-11,50000,50600,49450,50300,446600,CMG,1.62,800.0,2024,3,9
1533,2024-09-12,51000,51100,50500,50800,231500,CMG,0.99,500.0,2024,3,9
1534,2024-09-13,51000,51500,50200,51100,387600,CMG,0.59,300.0,2024,3,9
1535,2024-09-16,51100,51400,50400,50400,295900,CMG,-1.37,-700.0,2024,3,9
1536,2024-09-17,50200,50900,50000,50900,279900,CMG,0.99,500.0,2024,3,9
1537,2024-09-18,51100,53300,51000,52500,1327700,CMG,3.14,1600.0,2024,3,9
1538,2024-09-19,52300,52700,51600,52200,493000,CMG,-0.57,-300.0,2024,3,9
1539,2024-09-20,53000,53300,52100,52100,650700,CMG,-0.19,-100.0,2024,3,9
1540,2024-09-23,52500,52500,51000,51100,615200,CMG,-1.92,-1000.0,2024,3,9
1541,2024-09-24,51500,51800,51100,51800,279900,CMG,1.37,700.0,2024,3,9
1542,2024-09-25,52000,52200,51400,51500,515300,CMG,-0.58,-300.0,2024,3,9
1543,2024-09-26,51800,52100,51100,51500,576800,CMG,0.0,0.0,2024,3,9
1544,2024-09-27,51400,51900,50800,51000,457500,CMG,-0.97,-500.0,2024,3,9
1545,2024-09-30,51000,51200,50800,50800,291300,CMG,-0.39,-200.0,2024,3,9
1546,2024-10-01,51000,52400,51000,51900,882800,CMG,2.17,1100.0,2024,4,10
1547,2024-10-02,51600,51700,51000,51100,292900,CMG,-1.54,-800.0,2024,4,10
1548,2024-10-03,51300,51600,50400,50400,533000,CMG,-1.37,-700.0,2024,4,10
1549,2024-10-04,50500,50900,50200,50200,339800,CMG,-0.4,-200.0,2024,4,10
1550,2024-10-07,50500,50600,50100,50200,220300,CMG,0.0,0.0,2024,4,10
1551,2024-10-08,50200,50300,49600,49700,401500,CMG,-1.0,-500.0,2024,4,10
1552,2024-10-09,49750,51200,49750,51000,351800,CMG,2.62,1300.0,2024,4,10
1553,2024-10-10,51500,53800,51200,53500,2911400,CMG,4.9,2500.0,2024,4,10
1554,2024-10-11,53700,53700,52800,53000,521000,CMG,-0.93,-500.0,2024,4,10
1555,2024-10-14,53500,54800,53000,53100,690000,CMG,0.19,100.0,2024,4,10
1556,2024-10-15,53100,53400,51600,52000,907300,CMG,-2.07,-1100.0,2024,4,10
1557,2024-10-16,51900,52600,51700,52000,429300,CMG,0.0,0.0,2024,4,10
1558,2024-10-17,52200,52900,52000,52700,405300,CMG,1.35,700.0,2024,4,10
1559,2024-10-18,52700,53000,52100,52100,406300,CMG,-1.14,-600.0,2024,4,10
1560,2024-10-21,52100,53400,52000,53400,1383700,CMG,2.5,1300.0,2024,4,10
1561,2024-10-22,53400,53500,49850,51700,666800,CMG,-3.18,-1700.0,2024,4,10
1562,2024-10-23,51800,51900,51200,51400,420200,CMG,-0.58,-300.0,2024,4,10
1563,2024-10-24,51400,51400,50500,50600,624900,CMG,-1.56,-800.0,2024,4,10
1564,2024-10-25,50700,50900,50300,50700,175500,CMG,0.2,100.0,2024,4,10
1565,2024-10-28,50900,51700,50800,51300,301000,CMG,1.18,600.0,2024,4,10
1566,2024-10-29,51300,53500,51300,52800,1045600,CMG,2.92,1500.0,2024,4,10
1567,2024-10-30,53300,53300,52300,52700,305800,CMG,-0.19,-100.0,2024,4,10
1568,2024-10-31,52800,52800,51900,51900,409900,CMG,-1.52,-800.0,2024,4,10
1569,2024-11-01,51600,51700,50600,50600,995700,CMG,-2.5,-1300.0,2024,4,11
1570,2022-10-03,54900,55500,53000,55500,1452700,VIC,-0.037088122605363975,-27.39463601532567,2022,4,10
1571,2022-10-04,56000,57000,54600,57000,1296700,VIC,2.7,1500.0,2022,4,10
1572,2022-10-05,57500,60900,57000,60000,1328100,VIC,5.26,3000.0,2022,4,10
1573,2022-10-06,59800,62000,58100,60100,1011900,VIC,0.17,100.0,2022,4,10
1574,2022-10-07,60500,60700,58300,60200,2987900,VIC,0.17,100.0,2022,4,10
1575,2022-10-10,60200,60900,57700,60200,1238400,VIC,0.0,0.0,2022,4,10
1576,2022-10-11,58300,60100,56700,60000,2186800,VIC,-0.33,-200.0,2022,4,10
1577,2022-10-12,60000,60200,58300,60000,1709700,VIC,0.0,0.0,2022,4,10
1578,2022-10-13,58700,61000,58200,60400,1246400,VIC,0.67,400.0,2022,4,10
1579,2022-10-14,60500,60500,58400,59700,779400,VIC,-1.16,-700.0,2022,4,10
1580,2022-10-17,58600,59000,56000,56000,738200,VIC,-6.2,-3700.0,2022,4,10
1581,2022-10-18,56500,58600,56500,58400,606100,VIC,4.29,2400.0,2022,4,10
1582,2022-10-19,58500,58700,56500,58500,826400,VIC,0.17,100.0,2022,4,10
1583,2022-10-20,58100,58700,57200,58600,1099200,VIC,0.17,100.0,2022,4,10
1584,2022-10-21,58500,58500,54500,56800,1414600,VIC,-3.07,-1800.0,2022,4,10
1585,2022-10-24,56000,56600,52900,56500,1606100,VIC,-0.53,-300.0,2022,4,10
1586,2022-10-25,56300,56300,53000,56100,1446700,VIC,-0.71,-400.0,2022,4,10
1587,2022-10-26,56100,56100,53500,54800,1054100,VIC,-2.32,-1300.0,2022,4,10
1588,2022-10-27,54600,55000,52500,55000,1974800,VIC,0.36,200.0,2022,4,10
1589,2022-10-28,55400,55800,53500,55700,1281000,VIC,1.27,700.0,2022,4,10
1590,2022-10-31,56000,56400,54300,55400,1052800,VIC,-0.54,-300.0,2022,4,10
1591,2022-11-01,55700,55800,54000,55400,1419100,VIC,0.0,0.0,2022,4,11
1592,2022-11-02,55300,55400,54000,55400,1352500,VIC,0.0,0.0,2022,4,11
1593,2022-11-03,54400,55100,54300,55100,909700,VIC,-0.54,-300.0,2022,4,11
1594,2022-11-04,54900,54900,52100,54300,1617900,VIC,-1.45,-800.0,2022,4,11
1595,2022-11-07,54000,54000,51700,53400,1702500,VIC,-1.66,-900.0,2022,4,11
1596,2022-11-08,52200,53300,49700,53300,2476100,VIC,-0.19,-100.0,2022,4,11
1597,2022-11-09,53300,54300,52200,53700,1573900,VIC,0.75,400.0,2022,4,11
